,ñkäCìπ,ìåñk,ä÷ìå,ñkó§êMâz,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB,â´ìÍ
2009,0.001,0.003,-0.025,-0.005,-0.021,-0.054,-0.019,-0.012,-0.004,0.0
2010,-0.001,-0.007,-0.031,0.011,-0.01,-0.09,-0.139,-0.015,-0.019,-0.0
2011,0.002,-0.001,0.046,-0.013,0.051,0.127,0.115,0.017,0.049,0.0
2012,-0.002,-0.001,-0.047,-0.006,-0.06,-0.091,-0.062,-0.016,-0.036,-0.0
2013,0.005,0.007,0.152,0.016,0.089,0.057,-0.092,-0.009,0.024,0.0
2014,-0.002,0.004,-0.023,-0.001,-0.02,-0.025,0.011,-0.003,-0.005,0.0
2015,-0.001,-0.006,-0.024,-0.009,-0.011,0.005,0.083,0.015,0.003,0.001
2016,0.001,0.003,0.011,0.004,-0.013,-0.016,0.01,-0.001,0.006,-0.0
2017,0.001,-0.0,-0.014,-0.0,-0.002,-0.022,-0.018,-0.004,-0.007,0.0
2018,-0.003,0.004,-0.043,-0.007,-0.006,-0.04,-0.04,-0.007,-0.009,0.0
2019,0.003,0.001,0.02,0.004,0.017,0.021,0.003,0.002,0.008,0.001
2020,-0.008,-0.018,-0.117,-0.015,-0.068,-0.078,-0.092,-0.014,-0.026,-0.002
2021,-0.002,-0.005,-0.096,-0.008,-0.048,-0.127,-0.009,-0.024,-0.018,-0.0
2022,0.012,0.017,0.29,0.023,0.109,0.188,0.105,0.048,0.03,0.001
2023,0.0,0.004,0.048,0.004,0.025,0.017,-0.045,-0.005,0.01,0.001
2024,0.001,0.01,-0.035,0.004,-0.014,-0.034,-0.038,-0.004,0.005,0.0
